Method,Time,Value
Naive,0.000000,16
Transpose,0.000000,16
Tile,0.000000,16
Naive,0.000000,32
Transpose,0.001000,32
Tile,0.000000,32
Naive,0.002000,64
Transpose,0.001000,64
Tile,0.002000,64
Naive,0.010000,128
Transpose,0.010000,128
Tile,0.009000,128
Naive,0.070000,256
Transpose,0.062000,256
Tile,0.063000,256
Naive,0.625000,512
Transpose,0.503000,512
Tile,0.525000,512
Naive,7.282000,1024
Transpose,4.026000,1024
Tile,4.178000,1024
Naive,86.215000,2048
Transpose,32.261000,2048
Tile,33.772000,2048
